reference_tables,predicted_tables
"writes, author","writes, author"
"paperdataset, dataset, paper","paper, paperdataset, dataset"
"paperkeyphrase, keyphrase, paper, cite","paperkeyphrase, paper, cite, keyphrase"
"writes, author","writes, author"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"writes, author, paper","writes, paper, author"
"writes, paper","writes, paper"
"writes, author","writes, author"
"paperdataset, dataset, paperkeyphrase, keyphrase","paperkeyphrase, paperdataset, dataset, keyphrase"
"paperdataset, dataset, paperkeyphrase, keyphrase","paperkeyphrase, paperdataset, dataset, keyphrase"
"paperkeyphrase, keyphrase, writes, author","paperkeyphrase, writes, keyphrase, author"
"writes, author","writes, author"
"writes, author","writes, author"
"venue, paper","venue, paper"
"writes, author","writes, author"
"venue, paper, writes, author","venue, paper, writes, author"
"writes, author","writes, author"
"paperkeyphrase, keyphrase, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
"writes, author, paper","writes, paper, author"
"paperkeyphrase, keyphrase, paper, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
"paperkeyphrase, keyphrase, paper, venue","paperkeyphrase, paper, venue, keyphrase"
"paper, cite, venue","paper, cite, venue"
"paperkeyphrase, keyphrase, paper, cite","paperkeyphrase, paper, cite, keyphrase"
"paperkeyphrase, keyphrase, writes, cite, author","paperkeyphrase, paper, writes, keyphrase, author"
"paper, paperkeyphrase, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
"paperkeyphrase, keyphrase, paper, cite","paperkeyphrase, paper, cite, keyphrase"
"paperkeyphrase, keyphrase, paper, venue","paperkeyphrase, paper, venue, keyphrase"
"venue, paper","venue, paper"
"venue, paper, writes, author","venue, paper, writes, author"
"writes, author, paper","writes, paper, author"
"paperkeyphrase, keyphrase, paper, venue","paperkeyphrase, paper, venue, keyphrase"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"paperkeyphrase, keyphrase, paper, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
"writes, author","writes, author"
"paper, cite, writes, author","paper, cite, writes, author"
"paper, cite, venue","paper, cite, venue"
"paperkeyphrase, keyphrase, paper, venue","paperkeyphrase, paper, venue, keyphrase"
"writes, author","writes, author"
"paperdataset, dataset, paper","paper, paperdataset, dataset"
"paper, cite, writes, author","paper, cite, writes, author"
"paperkeyphrase, keyphrase, paper, venue","paperkeyphrase, paper, venue, keyphrase"
"paperkeyphrase, keyphrase, paper, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
"paperdataset, dataset, paper, venue","paper, venue, paperdataset, dataset"
"paperkeyphrase, keyphrase, paper, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
"venue, paper","venue, paper"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"venue, paper, writes, author","venue, paper, writes, author"
"venue, paper, writes, author","writes, paper, author"
"paperkeyphrase, keyphrase, paper, venue","paperkeyphrase, paper, venue, keyphrase"
"paper, cite, writes, author","paper, cite, writes, author"
"writes, author, paper","writes, paper, author"
"paperkeyphrase, keyphrase, paper, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
"paper, cite","paper, cite"
"writes, author, paper","writes, paper, author"
"writes, author","writes, author"
"venue, paper","venue, paper"
"writes, author","writes, author"
"paper, cite, writes, author","paper, cite, writes, author"
"paperdataset, dataset, paper, venue","paper, venue, paperdataset, dataset"
"paper, paperkeyphrase, venue, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
"paperkeyphrase, keyphrase, paper, venue","paperkeyphrase, paper, venue, keyphrase"
"paperkeyphrase, keyphrase, paper, cite","paperkeyphrase, paper, cite, keyphrase"
"venue, paper, writes","venue, paper, writes"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"paperkeyphrase, keyphrase, paper, venue","paperkeyphrase, paper, venue, keyphrase"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"venue, paper, writes","venue, paper, writes"
"writes, author, paper","writes, paper, author"
"writes, author, paper","writes, author"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"writes, author, paper","writes, paper, author"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"paperkeyphrase, keyphrase, writes, paper, author, venue","paperkeyphrase, paper, writes, keyphrase, author"
"writes, author, paper","writes, paper, author"
"paperkeyphrase, keyphrase, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
"venue, paper, writes","venue, paper, writes"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"writes, author, paper","writes, paper, author"
"venue, paper","venue, paper"
"writes, author","writes, author"
"writes, author","writes, author"
"paperkeyphrase, keyphrase, paper, writes","paperkeyphrase, paper, writes, keyphrase"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"venue, paper, writes","venue, paper, writes"
"writes, author","writes, author"
"paperdataset, dataset, paper","paper, paperdataset, dataset"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"venue, paper","venue, paper"
"venue, paper","venue, paper"
"paperkeyphrase, keyphrase, paper, cite","paperkeyphrase, paper, cite, keyphrase"
"venue, paper, writes, author","venue, paper, writes, author"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"venue, paper, writes","venue, paper, writes"
"paper, cite, writes, author","paper, cite, writes, author"
"paperkeyphrase, keyphrase, paper, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
paper,None
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"paperdataset, dataset, paper, writes","paper, writes, paperdataset, dataset"
"paper, journal, paperkeyphrase","paper, journal"
"paper, cite, writes, author","paper, cite, writes, author"
"paperkeyphrase, keyphrase, paper, venue","paperkeyphrase, paper, venue, keyphrase"
"paperdataset, dataset, paperkeyphrase, keyphrase","paperkeyphrase, paperdataset, dataset, keyphrase"
"writes, author, paper","writes, author"
"writes, author, paper","writes, paper, author"
"paper, cite, writes, author","paper, cite, writes, author"
"writes, author","writes, author"
"venue, paper","venue, paper"
"writes, author, paper","writes, paper, author"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"paper, cite","paper, cite"
"venue, paper","venue, paper"
"paperdataset, dataset, paperkeyphrase, paper, keyphrase","paperkeyphrase, paper, keyphrase"
"writes, author, paper","writes, paper, author"
"writes, author, paper","writes, paper, author"
"paperdataset, dataset, paper","paper, paperdataset, dataset"
"paperkeyphrase, keyphrase, paper, venue","paperkeyphrase, paper, venue, keyphrase"
"venue, paper, writes","venue, paper, writes"
"writes, author","writes, author"
"writes, author, paper","writes, paper, author"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"paper, cite, venue","paper, cite, venue"
"paperkeyphrase, keyphrase, paper, writes, author","paperkeyphrase, paper, writes, keyphrase, author"
"writes, author","writes, author"
"paperkeyphrase, keyphrase, paper","paperkeyphrase, paper, keyphrase"
"paper, cite, venue","paper, cite, venue"
"paper, cite, writes, author","paper, cite, writes, author"
"paperdataset, dataset, paperkeyphrase, paper, venue, keyphrase","paperkeyphrase, paper, venue, paperdataset, dataset, keyphrase"
budget,budget
endowment,endowment
school,None
"endowment, school","endowment, school"
school,None
school,school
school,school
endowment,endowment
"budget, school","budget, school"
school,university
school,school
endowment,endowment
endowment,endowment
"school, endowment","school, endowment"
"budget, school, endowment","budget, school, endowment"
"budget, school","budget, school"
school,None
endowment,endowment
school,school
"endowment, school","endowment, school"
budget,budget
budget,budget
"endowment, school","endowment, school"
"school, budget","school, budget"
musical,musical
"actor, musical","actor, musical"
"actor, musical","actor, musical"
"actor, musical","actor, musical"
musical,musical
musical,musical
musical,musical
actor,actor
actor,actor
"actor, musical","actor, musical"
actor,actor
musical,musical
musical,musical
"actor, musical","actor, musical"
actor,actor
musical,musical
actor,actor
"musical, actor","actor, musical"
actor,actor
actor,actor
musical,musical
actor,actor
musical,musical
"actor, musical","actor, musical"
"musical, actor","actor, musical"
musical,musical
"actor, musical","actor, musical"
"actor, musical","actor, musical"
musical,musical
"actor, musical","actor, musical"
musical,musical
musical,musical
actor,actor
"actor, musical","actor, musical"
actor,actor
musical,musical
entrepreneur,entrepreneur
"entrepreneur, people","entrepreneur, people"
entrepreneur,entrepreneur
entrepreneur,entrepreneur
"entrepreneur, people","entrepreneur, people"
people,people
entrepreneur,entrepreneur
"entrepreneur, people","entrepreneur, people"
entrepreneur,entrepreneur
"people, entrepreneur","people, entrepreneur"
"entrepreneur, people","entrepreneur, people"
entrepreneur,entrepreneur
"entrepreneur, people","entrepreneur, people"
people,people
"people, entrepreneur","people, entrepreneur"
"entrepreneur, people","entrepreneur, people"
entrepreneur,entrepreneur
people,people
"entrepreneur, people","entrepreneur, people"
people,people
entrepreneur,entrepreneur
entrepreneur,entrepreneur
entrepreneur,entrepreneur
entrepreneur,entrepreneur
"entrepreneur, people","entrepreneur, people"
entrepreneur,entrepreneur
entrepreneur,entrepreneur
"entrepreneur, people","entrepreneur, people"
"entrepreneur, people","entrepreneur, people"
"entrepreneur, people","entrepreneur, people"
"entrepreneur, people","entrepreneur, people"
"entrepreneur, people","entrepreneur, people"
entrepreneur,entrepreneur
"entrepreneur, people","entrepreneur, people"
"entrepreneur, people","entrepreneur, people"
entrepreneur,entrepreneur
"genres, tracks, media_types","tracks, genres, media_types"
customers,customers
"tracks, playlist_tracks, playlists","tracks, playlist_tracks, playlists"
"tracks, playlist_tracks, playlists","tracks, playlist_tracks, playlists"
"customers, invoices","customers, invoices"
invoices,invoices
"genres, tracks, media_types","tracks, genres, media_types"
"employees, customers","employees, customers"
employees,employees
"albums, tracks","albums, tracks"
genres,genres
customers,customers
"customers, invoices","customers, invoices"
albums,albums
invoices,invoices
"tracks, invoice_lines, invoices, customers","tracks, invoice_lines, invoices, customers"
invoices,invoices
"albums, tracks","albums, tracks"
invoices,invoices
employees,employees
"customers, invoices","customers, invoices"
"albums, tracks","albums, tracks"
customers,customers
playlists,playlists
invoices,invoices
employees,employees
employees,employees
"genres, tracks, media_types","tracks, genres, media_types"
invoices,invoices
"genres, tracks","tracks, genres"
employees,employees
customers,customers
genres,genres
"employees, customers","employees, customers"
employees,employees
media_types,media_types
"genres, tracks","tracks, genres"
"customers, invoices","customers, invoices"
albums,albums
employees,employees
"albums, artists","albums, artists"
customers,customers
employees,employees
tracks,tracks
invoices,invoices
invoices,invoices
invoices,invoices
employees,employees
"customers, invoices","customers, invoices"
"tracks, playlist_tracks, playlists","tracks, playlist_tracks, playlists"
tracks,tracks
invoices,invoices
employees,employees
"genres, tracks","tracks, genres"
tracks,tracks
invoices,invoices
"albums, tracks","albums, tracks"
"genres, tracks","tracks, genres"
"employees, customers","employees, customers"
"customers, invoices","customers, invoices"
"genres, tracks","tracks, genres"
"genres, tracks","tracks, genres"
"albums, artists","albums, artists"
"customers, invoices","customers, invoices"
albums,albums
"customers, invoices","customers, invoices"
invoices,invoices
"customers, invoices","customers, invoices"
employees,employees
"albums, artists","albums, artists"
"customers, invoices","customers, invoices"
"tracks, playlist_tracks, playlists","tracks, playlist_tracks, playlists"
employees,employees
invoices,invoices
playlists,playlists
"tracks, invoice_lines, invoices, customers","tracks, invoice_lines, invoices, customers"
employees,employees
"playlist_tracks, playlists","playlist_tracks, playlists"
invoices,invoices
tracks,tracks
employees,employees
albums,albums
tracks,tracks
customers,customers
"genres, tracks","tracks, genres"
"tracks, playlist_tracks, playlists","tracks, playlist_tracks, playlists"
customers,customers
"customers, invoices","customers, invoices"
customers,customers
"genres, tracks, media_types","tracks, genres, media_types"
customers,customers
employees,employees
"artists, albums","artists, albums"
"artists, albums","artists, albums"
employees,employees
invoices,invoices
media_types,media_types
customers,customers
albums,albums
"albums, tracks","albums, tracks"
albums,albums
hotels,hotels
"tourist_attractions, visits","tourist_attractions, visits"
tourist_attractions,tourist_attractions
"tourist_attractions, tourist_attraction_features, features","tourist_attractions, tourist_attraction_features, features"
locations,locations
hotels,hotels
hotels,hotels
"ref_attraction_types, tourist_attractions","ref_attraction_types, tourist_attractions"
hotels,hotels
"museums, tourist_attractions","museums, tourist_attractions"
photos,photos
locations,locations
"photos, tourist_attractions","photos, tourist_attractions"
"royal_family, tourist_attractions","royal_family, tourist_attractions"
"tourist_attractions, visitors, visits","tourist_attractions, visits, visitors"
locations,locations
"shops, tourist_attractions","shops, tourist_attractions"
"tourist_attractions, visits","tourist_attractions, visits"
"tourist_attractions, visitors, visits","tourist_attractions, visits, visitors"
hotels,hotels
"shops, tourist_attractions","shops, tourist_attractions"
hotels,hotels
hotels,hotels
staff,staff
"visitors, visits","visits, visitors"
"staff, tourist_attractions","staff, tourist_attractions"
hotels,hotels
"locations, tourist_attractions","tourist_attractions, locations"
"street_markets, tourist_attractions","street_markets, tourist_attractions"
"tourist_attractions, visits, visitors","visits, tourist_attractions, visitors"
"tourist_attractions, visits","tourist_attractions, visits"
"locations, tourist_attractions","tourist_attractions, locations"
"photos, tourist_attractions","photos, tourist_attractions"
"tourist_attractions, visits","tourist_attractions, visits"
hotels,hotels
visits,visits
hotels,hotels
hotels,hotels
locations,locations
hotels,hotels
tourist_attractions,tourist_attractions
photos,photos
"photos, tourist_attractions","photos, tourist_attractions"
tourist_attractions,tourist_attractions
tourist_attractions,tourist_attractions
"hotels, ref_hotel_star_ratings","hotels, ref_hotel_star_ratings"
"visitors, visits","visits, visitors"
tourist_attractions,tourist_attractions
"museums, tourist_attractions","museums, tourist_attractions"
locations,locations
staff,staff
"tourist_attractions, visits","tourist_attractions, visits"
tourist_attractions,tourist_attractions
locations,locations
"tourist_attractions, visitors, visits","tourist_attractions, visits, visitors"
"locations, tourist_attractions","tourist_attractions, locations"
"tourist_attractions, tourist_attraction_features, features","tourist_attractions, tourist_attraction_features, features"
hotels,hotels
"hotels, ref_hotel_star_ratings","hotels, ref_hotel_star_ratings"
"royal_family, tourist_attractions","royal_family, tourist_attractions"
hotels,hotels
"visitors, visits","visits, visitors"
hotels,hotels
hotels,hotels
tourist_attractions,tourist_attractions
"locations, tourist_attractions","tourist_attractions, locations"
"tourist_attractions, visits, visitors","tourist_attractions, visits, visitors"
visits,visits
"street_markets, tourist_attractions","street_markets, tourist_attractions"
visitors,visitors
"photos, tourist_attractions","photos, tourist_attractions"
"tourist_attractions, visitors, visits","tourist_attractions, visits, visitors"
"tourist_attractions, visits","tourist_attractions, visits"
"visitors, visits","visits, visitors"
locations,locations
tourist_attractions,tourist_attractions
"employee, certificate, aircraft","employee, certificate, aircraft"
aircraft,aircraft
flight,flight
flight,flight
flight,flight
aircraft,aircraft
employee,employee
employee,employee
"flight, aircraft","flight, aircraft"
employee,employee
"employee, certificate, aircraft","employee, certificate, aircraft"
"employee, certificate","employee, certificate"
flight,flight
employee,employee
aircraft,aircraft
employee,employee
employee,employee
employee,employee
"certificate, aircraft","certificate, aircraft"
certificate,certificate
"flight, aircraft","flight, aircraft"
employee,employee
"certificate, aircraft","certificate, aircraft"
employee,employee
"employee, certificate, aircraft","employee, certificate, aircraft"
"flight, aircraft","flight, aircraft"
aircraft,aircraft
aircraft,aircraft
aircraft,aircraft
flight,flight
flight,flight
flight,flight
flight,flight
flight,flight
flight,flight
employee,employee
flight,flight
employee,employee
"flight, aircraft","flight, aircraft"
flight,flight
"employee, certificate, aircraft","employee, certificate, aircraft"
"employee, certificate, aircraft","employee, certificate, aircraft"
"employee, certificate","employee, certificate"
flight,flight
aircraft,aircraft
aircraft,aircraft
employee,employee
employee,employee
flight,flight
flight,flight
flight,flight
"employee, certificate, aircraft","employee, certificate, aircraft"
"employee, certificate, aircraft","employee, certificate, aircraft"
"flight, aircraft","flight, aircraft"
"employee, certificate, aircraft","employee, certificate, aircraft"
employee,employee
employee,employee
"employee, certificate","employee, certificate"
aircraft,aircraft
flight,flight
aircraft,aircraft
certificate,certificate
"certificate, aircraft","certificate, aircraft"
flight,flight
flight,flight
"employee, certificate","employee, certificate"
aircraft,aircraft
aircraft,aircraft
aircraft,aircraft
flight,flight
"flight, aircraft","flight, aircraft"
aircraft,aircraft
flight,flight
flight,flight
"certificate, aircraft",aircraft
flight,flight
employee,employee
aircraft,aircraft
aircraft,aircraft
flight,flight
flight,flight
"flight, aircraft","flight, aircraft"
flight,flight
"employee, certificate, aircraft","employee, certificate, aircraft"
employee,employee
aircraft,aircraft
flight,flight
river,river
river,river
river,river
state,state
state,state
border_info,border_info
state,state
river,river
city,city
city,city
state,state
river,river
"state, border_info","state, border_info"
highlow,highlow
state,state
state,state
border_info,border_info
"highlow, river","highlow, river"
"city, state","city, state"
"state, river","state, river"
state,state
border_info,border_info
highlow,highlow
state,state
highlow,highlow
city,city
highlow,highlow
city,city
state,state
highlow,highlow
"city, state","city, state"
state,state
river,river
"state, border_info","state, border_info"
state,state
state,state
river,river
river,river
"highlow, state, city","highlow, state"
city,city
"city, highlow","city, highlow"
"state, highlow","highlow, state"
state,state
"state, river","state, river"
city,city
border_info,border_info
city,city
state,state
highlow,highlow
highlow,highlow
state,state
border_info,border_info
river,river
"highlow, border_info","highlow, border_info"
mountain,mountain
city,city
river,river
city,city
city,city
state,state
city,city
"state, river","state, river"
"state, river","state, river"
border_info,border_info
state,state
highlow,highlow
"state, highlow","state, highlow"
"state, border_info","state, border_info"
state,state
city,city
state,state
"city, state","city, state"
highlow,highlow
city,city
state,state
city,city
river,river
city,city
"state, river","state, river"
highlow,highlow
city,city
"city, border_info","city, border_info"
state,state
river,river
highlow,highlow
city,city
state,state
city,city
state,state
state,state
highlow,mountain
city,city
highlow,highlow
river,river
"city, state","city, state"
city,city
highlow,highlow
"river, state","river, state"
river,river
river,river
river,river
"city, state","city, state"
state,state
"state, city","state, city"
city,city
"city, state","city, state"
city,city
city,city
"river, border_info","river, border_info"
city,city
city,city
river,river
state,state
river,border_info
"state, border_info","state, border_info"
"state, border_info","state, border_info"
river,river
"river, highlow","river, highlow"
"city, state","city, state"
state,state
"city, state","city, state"
border_info,border_info
city,city
river,river
city,city
"city, river","city, river"
"highlow, state","highlow, state"
river,river
river,river
highlow,highlow
"border_info, river","border_info, river"
river,river
"city, state","city, state"
city,city
city,city
highlow,highlow
state,state
"river, city","river, city"
"state, river","state, river"
river,river
"city, state","city, state"
"highlow, state","highlow, state"
highlow,highlow
"state, river","state, river"
"highlow, state","state, highlow"
"state, highlow","state, highlow"
river,river
state,state
state,state
state,state
"city, river","city, river"
highlow,highlow
highlow,highlow
city,city
state,state
state,state
city,city
river,river
highlow,highlow
"river, state","river, state"
city,city
city,city
"state, border_info","state, border_info"
river,river
river,river
state,state
city,city
"state, border_info","state, border_info"
state,state
state,state
river,river
city,city
state,state
city,city
"state, border_info","state, border_info"
river,river
city,city
mountain,mountain
"border_info, state","state, border_info"
highlow,highlow
"state, border_info","state, border_info"
state,state
state,state
"city, border_info","city, border_info"
"state, border_info","state, border_info"
mountain,mountain
state,state
river,river
city,city
highlow,highlow
highlow,highlow
"state, border_info","state, border_info"
city,city
state,state
river,river
"highlow, state","highlow, state"
state,state
river,river
"state, border_info","state, border_info"
lake,lake
state,state
"border_info, state","border_info, state"
mountain,mountain
river,river
state,state
state,state
city,city
"city, river","city, river"
state,state
"state, border_info","state, border_info"
city,city
state,state
river,river
city,city
city,city
state,state
"state, river","state, river"
highlow,highlow
state,state
highlow,highlow
river,river
highlow,highlow
river,river
city,city
"border_info, river","border_info, river"
state,state
"state, border_info","state, border_info"
highlow,highlow
highlow,highlow
river,river
river,river
city,city
"highlow, border_info","highlow, border_info"
state,state
city,city
river,river
highlow,highlow
state,state
river,river
river,river
"river, border_info, state","river, border_info, state"
river,river
state,state
"city, state","city, state"
"river, border_info","river, border_info"
river,river
state,state
state,state
state,state
river,river
city,city
river,river
state,state
city,city
"border_info, river","border_info, river"
city,city
state,state
state,state
"highlow, river","river, highlow"
"highlow, border_info","highlow, border_info"
city,city
river,river
state,state
city,city
"border_info, state","border_info, state"
"city, state","city, state"
border_info,border_info
"river, border_info","river, border_info"
"highlow, border_info","highlow, border_info"
border_info,border_info
river,river
"border_info, river","border_info, river"
river,river
city,city
highlow,highlow
highlow,highlow
state,state
river,river
"border_info, state","border_info, state"
state,state
river,river
border_info,border_info
state,state
river,river
river,river
city,city
border_info,border_info
river,river
city,city
"state, river","state, river"
state,state
"city, state","city, state"
river,river
state,state
state,state
city,city
highlow,highlow
river,river
state,state
state,state
river,river
highlow,highlow
state,state
state,state
river,river
river,river
state,state
"state, river","state, river"
state,state
"highlow, state","highlow, state"
lake,lake
highlow,highlow
state,state
"city, state","city, state"
state,state
city,city
mountain,mountain
state,state
city,city
mountain,mountain
"border_info, state","state, border_info"
state,state
"highlow, border_info, state","state, border_info, highlow"
highlow,highlow
city,city
river,river
border_info,border_info
city,city
river,river
river,river
city,city
city,city
river,river
state,state
"river, highlow","river, highlow"
river,river
state,state
state,state
"border_info, state","border_info, state"
river,river
"lake, border_info","border_info, lake"
city,city
river,river
"state, river","state, river"
river,river
"state, highlow","state, highlow"
city,city
state,state
state,state
city,city
state,state
city,city
city,city
city,city
river,river
river,river
mountain,mountain
"river, city","river, city"
state,state
"state, river","state, river"
city,city
"river, border_info, state","river, border_info, state"
river,river
"highlow, state","state, highlow"
state,state
state,state
state,state
lake,lake
mountain,mountain
"river, border_info","river, border_info"
state,state
state,state
highlow,highlow
state,state
"border_info, state","border_info, state"
city,city
mountain,mountain
state,state
city,city
"city, state","city, state"
state,state
state,state
"highlow, state","highlow, state"
"state, border_info","state, border_info"
highlow,highlow
"city, state","city, state"
"river, state","river, state"
city,city
"city, border_info","city, border_info"
"highlow, border_info","highlow, border_info"
"state, border_info","state, border_info"
mountain,mountain
city,city
river,river
highlow,highlow
state,state
lake,lake
"highlow, state","state, highlow"
state,state
"state, river","state, river"
"state, border_info","state, border_info"
"state, border_info","state, border_info"
highlow,highlow
river,river
"highlow, river","river, highlow"
river,river
highlow,highlow
mountain,mountain
river,river
highlow,highlow
state,state
"border_info, state","border_info, state"
river,river
river,river
state,state
river,river
"city, state","city, state"
"highlow, river","highlow, river"
state,state
state,state
city,city
border_info,border_info
city,city
river,river
river,river
river,river
river,river
city,city
state,state
"city, state, river","city, state, river"
river,river
state,state
state,state
river,river
border_info,border_info
highlow,highlow
"state, border_info","state, border_info"
"state, river","state, river"
highlow,highlow
city,city
city,city
city,city
river,river
state,state
river,river
city,city
highlow,highlow
highlow,highlow
city,city
state,state
highlow,highlow
border_info,border_info
border_info,border_info
city,city
"state, border_info","state, border_info"
"river, border_info, state","river, border_info, state"
"highlow, river","highlow, river"
"state, river","state, river"
city,city
city,city
highlow,highlow
state,state
river,river
state,state
state,state
state,state
lake,lake
river,river
river,river
city,city
river,river
city,city
state,state
highlow,highlow
"state, border_info","state, border_info"
"city, state, river","city, state, river"
river,river
river,river
"border_info, river","border_info, river"
city,city
river,river
highlow,highlow
"river, border_info","river, border_info"
"border_info, river","border_info, river"
"state, river","state, river"
state,state
river,river
city,city
highlow,highlow
city,city
state,state
"river, border_info","river, border_info"
city,city
state,state
river,river
highlow,highlow
"border_info, state","border_info, state"
river,river
state,state
"river, border_info","river, border_info"
mountain,mountain
river,river
river,river
city,city
state,state
river,river
border_info,border_info
city,city
"elimination, wrestler","elimination, wrestler"
wrestler,wrestler
wrestler,wrestler
elimination,elimination
"elimination, wrestler","elimination, wrestler"
elimination,elimination
elimination,elimination
"elimination, wrestler","elimination, wrestler"
elimination,elimination
"wrestler, elimination","wrestler, elimination"
elimination,elimination
wrestler,wrestler
"elimination, wrestler","elimination, wrestler"
"elimination, wrestler","elimination, wrestler"
elimination,elimination
elimination,elimination
wrestler,wrestler
elimination,elimination
wrestler,wrestler
wrestler,wrestler
elimination,elimination
"elimination, wrestler","elimination, wrestler"
wrestler,wrestler
wrestler,wrestler
wrestler,wrestler
wrestler,wrestler
"elimination, wrestler","elimination, wrestler"
elimination,elimination
wrestler,wrestler
wrestler,wrestler
wrestler,wrestler
wrestler,wrestler
"wrestler, elimination","wrestler, elimination"
elimination,elimination
wrestler,wrestler
"elimination, wrestler","elimination, wrestler"
"review, business","review, business"
"user, review","review, user"
"category, business","category, business"
review,review
"category, business","category, business"
"category, business","category, business"
business,"business, review"
"review, business","review, business"
"user, tip","tip, user"
"category, business, tip, user","category, business, tip, user"
"category, business, neighbourhood","category, business, neighbourhood"
"review, business","review, business"
tip,tip
"category, business","category, business"
"category, business","category, business"
"category, business","category, business"
"user, tip","tip, user"
user,user
"review, business, user","review, business, user"
"category, business","category, business"
"checkin, business, neighbourhood","checkin, business, neighbourhood"
"category, business","category, business"
"review, business, user","review, business, user"
"user, tip","tip, user"
"category, business, neighbourhood","category, business, neighbourhood"
business,business
"tip, business","tip, business"
"user, review","review, user"
"category, business, review, user","category, business, review, user"
"neighbourhood, business","neighbourhood, business"
"category, business, review, user","category, business, review, user"
"category, business","category, business"
"category, business","category, business"
"category, business","category, business"
business,business
"category, business, review, user","category, business, review, user"
business,business
"category, business, checkin","category, business, checkin"
"user, tip","tip, user"
user,user
"category, business, review","category, business, review"
business,business
"category, business, review, user","category, business, review, user"
"category, business","category, business"
"category, business","category, business"
"neighbourhood, business, review","neighbourhood, business, review"
tip,tip
"user, review","review, user"
business,business
"category, business","category, business"
"category, business","category, business"
business,business
"tip, business, user","tip, business, user"
"user, review","review, user"
"category, business","category, business"
business,business
business,None
"category, business","category, business"
"review, business, user","review, business, user"
"category, business, review, user","category, business, review, user"
"category, business","category, business"
"category, business, neighbourhood","category, business, neighbourhood"
"category, business","category, business"
"category, business","category, business"
"category, business","category, business"
"category, business, checkin","category, business, checkin"
business,business
"category, business","category, business"
"category, business","category, business"
"category, business","category, business"
"category, business, review, user","category, business, review, user"
"tip, business","tip, business"
"category, business, neighbourhood","category, business, neighbourhood"
"category, business","category, business"
"category, business, checkin","category, business, checkin"
"user, review, tip","review, tip, user"
"review, business, user","review, business, user"
business,business
"tip, business","tip, business"
"category, business","category, business"
"neighbourhood, business","neighbourhood, business"
review,review
"review, business, user","review, business, user"
"category, business","category, business"
"user, review","review, user"
"category, business, checkin","category, business, checkin"
"tip, business, user","tip, business, user"
business,business
"category, business, review, user","category, business, review, user"
"user, tip","tip, user"
"tip, business","tip, business"
"category, business","category, business"
"category, business, review, user","category, business, review, user"
"user, review","review, user"
"category, business, review, user","category, business, review, user"
"category, business","category, business"
"category, business, review, user","category, business, review, user"
"category, business","category, business"
"category, business","category, business"
review,review
movie,movie
movie,movie
movie,movie
movie,movie
movie,movie
movie,movie
movie,movie
book_club,book_club
movie,movie
book_club,book_club
"movie, culture_company","culture_company, movie"
"movie, culture_company, book_club","culture_company, book_club, movie"
book_club,book_club
movie,movie
book_club,book_club
book_club,book_club
"movie, culture_company, book_club","culture_company, book_club, movie"
book_club,book_club
book_club,book_club
movie,movie
"culture_company, book_club","culture_company, book_club"
book_club,book_club
book_club,book_club
book_club,book_club
"movie, culture_company","culture_company, movie"
book_club,book_club
book_club,book_club
"culture_company, book_club","culture_company, book_club"
book_club,book_club
book_club,book_club
book_club,book_club
book_club,book_club
movie,movie
book_club,book_club
book_club,book_club
"detention, Ref_detention_Type","ref_detention_type, detention"
teachers,teachers
"addresses, teachers","addresses, teachers"
"addresses, Student_addresses","addresses, Student_addresses"
"student_addresses, students","student_addresses, students"
detention,detention
students,students
"addresses, Student_addresses","addresses, Student_addresses"
"addresses, students, teachers","addresses, students, teachers"
"assessment_notes, students","assessment_notes, students"
"assessment_notes, students","assessment_notes, students"
