question,create_table,sql,table_name
What's the title of the episode with a season number 25?,"CREATE TABLE 1-12226390-6 (
  ""No__in_series"" TEXT,
  ""No__in_season"" TEXT,
  ""Title"" TEXT,
  ""Directed_by"" TEXT,
  ""Written_by"" TEXT,
  ""Original_air_date"" TEXT,
  ""Production_code"" TEXT
);","SELECT ""Title"" FROM 1-12226390-6 WHERE ""No__in_season"" = 25",1-12226390-6
what is the record when the year is 2011?,"CREATE TABLE 2-1655022-1 (
  ""Year"" TEXT,
  ""MLB_Club"" TEXT,
  ""Record"" TEXT,
  ""Finish"" TEXT,
  ""Manager"" TEXT
);","SELECT ""Record"" FROM 2-1655022-1 WHERE ""Year"" = 2011",2-1655022-1
Name the date for game 9,"CREATE TABLE 1-16710829-2 (
  ""Game"" TEXT,
  ""Date"" TEXT,
  ""Opponent"" TEXT,
  ""Result"" TEXT,
  ""Falcons_points"" TEXT,
  ""Opponents"" TEXT,
  ""Record"" TEXT,
  ""Attendance"" TEXT
);","SELECT ""Date"" FROM 1-16710829-2 WHERE ""Game"" = 9",1-16710829-2
Name the kurdistan democratic party for kurdistan list being 10,"CREATE TABLE 1-24440361-1 (
  ""Governorate"" TEXT,
  ""Kurdistan_Democratic_Party"" TEXT,
  ""Patriotic_Union_of_Kurdistan"" TEXT,
  ""Total_Kurdistan_List"" TEXT,
  ""Total_Governorate_Seats"" TEXT
);","SELECT MIN(""Kurdistan_Democratic_Party"") FROM 1-24440361-1 WHERE ""Total_Kurdistan_List"" = 10",1-24440361-1
How many values are in the ends won cell corresponding to a PA of 39?,"CREATE TABLE 1-17012578-37 (
  ""Province"" TEXT,
  ""Skip"" TEXT,
  ""W"" TEXT,
  ""L"" TEXT,
  ""PF"" TEXT,
  ""PA"" TEXT,
  ""Ends_Won"" TEXT,
  ""Ends_Lost"" TEXT,
  ""Blank_Ends"" TEXT,
  ""Stolen_Ends"" TEXT,
  ""Shot_Pct_"" TEXT
);","SELECT COUNT(""Ends_Won"") FROM 1-17012578-37 WHERE ""PA"" = 39",1-17012578-37
Who wrote Series 38?,"CREATE TABLE 1-11075747-4 (
  ""Series__"" TEXT,
  ""Episode__"" TEXT,
  ""Title"" TEXT,
  ""Directed_by"" TEXT,
  ""Written_by"" TEXT,
  ""Original_air_date"" TEXT
);","SELECT ""Written_by"" FROM 1-11075747-4 WHERE ""Series__"" = 38",1-11075747-4
How many have a length of 375?,"CREATE TABLE 1-16654785-2 (
  ""Number"" TEXT,
  ""Name"" TEXT,
  ""Kilometer"" TEXT,
  ""Pavement"" TEXT,
  ""Length__m_"" TEXT,
  ""Average_climb____"" TEXT
);","SELECT COUNT(""Average_climb____"") FROM 1-16654785-2 WHERE ""Length__m_"" = 375",1-16654785-2
How many assists did the player who had 863 minutes have? ,"CREATE TABLE 1-24850487-5 (
  ""Player"" TEXT,
  ""Minutes"" TEXT,
  ""Field_Goals"" TEXT,
  ""Rebounds"" TEXT,
  ""Assists"" TEXT,
  ""Steals"" TEXT,
  ""Blocks"" TEXT,
  ""Points"" TEXT
);","SELECT MIN(""Assists"") FROM 1-24850487-5 WHERE ""Minutes"" = 863",1-24850487-5
Name the total number of SP+FS for places of 60 and points more than 151.66,"CREATE TABLE 2-11025881-2 (
  ""Rank"" TEXT,
  ""Name"" TEXT,
  ""Nation"" TEXT,
  ""SP_FS"" TEXT,
  ""Points"" TEXT,
  ""Places"" TEXT
);","SELECT COUNT(""SP_FS"") FROM 2-11025881-2 WHERE ""Places"" = 60 AND ""Points"" > 151.66",2-11025881-2
"What is the average total for teams with under 34 bronzes, 0 silver, and under 14 gold?","CREATE TABLE 2-18935397-2 (
  ""Rank"" TEXT,
  ""Nation"" TEXT,
  ""Gold"" TEXT,
  ""Silver"" TEXT,
  ""Bronze"" TEXT,
  ""Total"" TEXT
);","SELECT AVG(""Total"") FROM 2-18935397-2 WHERE ""Bronze"" < 34 AND ""Gold"" < 14 AND ""Silver"" < 0",2-18935397-2
What is the highest number of third place runners up held by any of the countries competing in the Mr. International competition?. ,"CREATE TABLE 1-20325360-2 (
  ""Rank"" TEXT,
  ""Country_Territory"" TEXT,
  ""Mister_International"" TEXT,
  ""_1st_runner_up"" TEXT,
  ""_2nd_runner_up"" TEXT,
  ""_3rd_runner_up"" TEXT,
  ""_4th_runner_up"" TEXT,
  ""Semifinalists"" TEXT,
  ""Total"" TEXT
);","SELECT MAX(""_3rd_runner_up"") FROM 1-20325360-2",1-20325360-2
What's the minimum number of execution units?,"CREATE TABLE 1-25839957-5 (
  ""Graphics"" TEXT,
  ""Launch"" TEXT,
  ""Market"" TEXT,
  ""CPU"" TEXT,
  ""Code_name"" TEXT,
  ""Device_ID"" TEXT,
  ""Core_clock___MHz__"" TEXT,
  ""Execution_units"" TEXT,
  ""Shader_model"" TEXT,
  ""DirectX"" TEXT,
  ""OpenGL"" TEXT,
  ""OpenCL"" TEXT,
  ""Memory_bandwidth___GB_s__"" TEXT,
  ""DVMT___MB__"" TEXT,
  ""CVT_HD"" TEXT,
  ""QSV"" TEXT
);","SELECT MIN(""Execution_units"") FROM 1-25839957-5",1-25839957-5
"What is the lowest Gold, when Silver is 0, and when Bronze is 2?","CREATE TABLE 2-17025228-3 (
  ""Rank"" TEXT,
  ""Nation"" TEXT,
  ""Gold"" TEXT,
  ""Silver"" TEXT,
  ""Bronze"" TEXT,
  ""Total"" TEXT
);","SELECT MIN(""Gold"") FROM 2-17025228-3 WHERE ""Silver"" = 0 AND ""Bronze"" = 2",2-17025228-3
Who is the television commentator for the year 2006?,"CREATE TABLE 1-1998037-9 (
  ""Year_s_"" TEXT,
  ""Television_commentator"" TEXT,
  ""Dual_Television_commentator"" TEXT,
  ""Radio_commentator"" TEXT,
  ""Spokesperson"" TEXT
);","SELECT ""Television_commentator"" FROM 1-1998037-9 WHERE ""Year_s_"" = 2006",1-1998037-9
What is the highest number listed?,"CREATE TABLE 1-12113888-1 (
  ""Number"" TEXT,
  ""Builder"" TEXT,
  ""Built"" TEXT,
  ""Rebuilt"" TEXT,
  ""Name_as_rebuilt"" TEXT,
  ""Scrapped_Sold"" TEXT
);","SELECT MAX(""Number"") FROM 1-12113888-1",1-12113888-1
What Team has a Pick of 40?,"CREATE TABLE 2-11598240-3 (
  ""Pick"" TEXT,
  ""Player"" TEXT,
  ""Team"" TEXT,
  ""Position"" TEXT,
  ""School"" TEXT
);","SELECT ""Team"" FROM 2-11598240-3 WHERE ""Pick"" = 40",2-11598240-3
What is the sum of the game numbers for games with less than 30 points?,"CREATE TABLE 2-17360840-7 (
  ""Game"" TEXT,
  ""Date"" TEXT,
  ""Opponent"" TEXT,
  ""Score"" TEXT,
  ""Location"" TEXT,
  ""Attendance"" TEXT,
  ""Record"" TEXT,
  ""Points"" TEXT
);","SELECT SUM(""Game"") FROM 2-17360840-7 WHERE ""Points"" < 30",2-17360840-7
How many areas (km 2) have 151511 as the census 2006 population?,"CREATE TABLE 1-1966992-1 (
  ""LGA_Name"" TEXT,
  ""Area__km_2__"" TEXT,
  ""Census_2006_population"" TEXT,
  ""Administrative_capital"" TEXT,
  ""Postal_Code"" TEXT
);","SELECT COUNT(""Area__km_2__"") FROM 1-1966992-1 WHERE ""Census_2006_population"" = 151511",1-1966992-1
How many mixed doubles were won in 1996?,"CREATE TABLE 1-15001957-1 (
  ""Year"" TEXT,
  ""Mens_singles"" TEXT,
  ""Womens_singles"" TEXT,
  ""Mens_doubles"" TEXT,
  ""Womens_doubles"" TEXT,
  ""Mixed_doubles"" TEXT
);","SELECT COUNT(""Mixed_doubles"") FROM 1-15001957-1 WHERE ""Year"" = 1996",1-15001957-1
Which largest average had 1229 yards?,"CREATE TABLE 2-11786754-5 (
  ""Player"" TEXT,
  ""Rec_"" TEXT,
  ""Yards"" TEXT,
  ""Avg_"" TEXT,
  ""TD_s"" TEXT,
  ""Long"" TEXT
);","SELECT MAX(""Avg_"") FROM 2-11786754-5 WHERE ""Yards"" = 1229",2-11786754-5
What is the total points in 1974?,"CREATE TABLE 2-1226516-1 (
  ""Year"" TEXT,
  ""Entrant"" TEXT,
  ""Chassis"" TEXT,
  ""Engine"" TEXT,
  ""Points"" TEXT
);","SELECT COUNT(""Points"") FROM 2-1226516-1 WHERE ""Year"" = 1974",2-1226516-1
What position did the draft pick number play that was overall pick number 133?,"CREATE TABLE 2-17100961-52 (
  ""Round"" TEXT,
  ""Pick"" TEXT,
  ""Overall"" TEXT,
  ""Name"" TEXT,
  ""Position"" TEXT,
  ""College"" TEXT
);","SELECT ""Position"" FROM 2-17100961-52 WHERE ""Overall"" = 133",2-17100961-52
"Which Snatch has a Clean & Jerk of 180, and a Bodyweight smaller than 69.83?","CREATE TABLE 2-17703223-4 (
  ""Name"" TEXT,
  ""Bodyweight"" TEXT,
  ""Snatch"" TEXT,
  ""Clean___Jerk"" TEXT,
  ""Total__kg_"" TEXT
);","SELECT MIN(""Snatch"") FROM 2-17703223-4 WHERE ""Clean___Jerk"" = 180 AND ""Bodyweight"" < 69.83",2-17703223-4
How many horses are mentioned competing in 1985?,"CREATE TABLE 1-21676617-1 (
  ""Year"" TEXT,
  ""Horse"" TEXT,
  ""Driver"" TEXT,
  ""Trainer"" TEXT,
  ""Country_of_owner"" TEXT,
  ""Odds_of_winner"" TEXT,
  ""Winning_time__km_rate_"" TEXT
);","SELECT COUNT(""Horse"") FROM 1-21676617-1 WHERE ""Year"" = 1985",1-21676617-1
What college did the #22 overall draft pick attend?,"CREATE TABLE 2-17144160-2 (
  ""Rnd_"" TEXT,
  ""Pick__"" TEXT,
  ""NFL_team"" TEXT,
  ""Pos_"" TEXT,
  ""College"" TEXT,
  ""Conf_"" TEXT
);","SELECT ""College"" FROM 2-17144160-2 WHERE ""Pick__"" = 22",2-17144160-2
"Which Gold has a Bronze larger than 1, and a Total larger than 80?","CREATE TABLE 2-155115-1 (
  ""Rank"" TEXT,
  ""Nation"" TEXT,
  ""Gold"" TEXT,
  ""Silver"" TEXT,
  ""Bronze"" TEXT,
  ""Total"" TEXT
);","SELECT SUM(""Gold"") FROM 2-155115-1 WHERE ""Bronze"" > 1 AND ""Total"" > 80",2-155115-1
"Which nation has 0 gold, 0 silver and 2 total?","CREATE TABLE 2-12511589-1 (
  ""Rank"" TEXT,
  ""Nation"" TEXT,
  ""Gold"" TEXT,
  ""Silver"" TEXT,
  ""Bronze"" TEXT,
  ""Total"" TEXT
);","SELECT ""Nation"" FROM 2-12511589-1 WHERE ""Gold"" = 0 AND ""Silver"" = 0 AND ""Total"" = 2",2-12511589-1
what is the total attempted with a total made 16,"CREATE TABLE 2-17107550-1 (
  ""Game"" TEXT,
  ""_3PM_A"" TEXT,
  ""Percent_Made"" TEXT,
  ""Total_Made"" TEXT,
  ""Total_Attempted"" TEXT,
  ""Series_Percent"" TEXT
);","SELECT COUNT(""Total_Attempted"") FROM 2-17107550-1 WHERE ""Total_Made"" = 16",2-17107550-1
Name the team for 48 game,"CREATE TABLE 2-11959669-6 (
  ""Game"" TEXT,
  ""Date"" TEXT,
  ""Team"" TEXT,
  ""Score"" TEXT,
  ""High_points"" TEXT,
  ""High_rebounds"" TEXT,
  ""High_assists"" TEXT,
  ""Location_Attendance"" TEXT,
  ""Record"" TEXT
);","SELECT ""Team"" FROM 2-11959669-6 WHERE ""Game"" = 48",2-11959669-6
Who had points smaller than 22 and a drawn of 2?,"CREATE TABLE 2-16501954-15 (
  ""Position"" TEXT,
  ""Name"" TEXT,
  ""Played"" TEXT,
  ""Drawn"" TEXT,
  ""Lost"" TEXT,
  ""Points"" TEXT
);","SELECT ""Name"" FROM 2-16501954-15 WHERE ""Points"" < 22 AND ""Drawn"" = 2",2-16501954-15
What is the station with a number greater than 9 and a distance of 16.4 km?,"CREATE TABLE 2-13779303-1 (
  ""Number"" TEXT,
  ""Station"" TEXT,
  ""Japanese"" TEXT,
  ""Distance__km_"" TEXT,
  ""Stop"" TEXT,
  ""Location"" TEXT
);","SELECT ""Station"" FROM 2-13779303-1 WHERE ""Number"" > 9 AND ""Distance__km_"" = 16.4",2-13779303-1
What is the event in a year before 1989?,"CREATE TABLE 2-18284124-1 (
  ""Year"" TEXT,
  ""Competition"" TEXT,
  ""Venue"" TEXT,
  ""Position"" TEXT,
  ""Event"" TEXT
);","SELECT ""Event"" FROM 2-18284124-1 WHERE ""Year"" < 1989",2-18284124-1
How many championships did the team or teams established in 1976 win?,"CREATE TABLE 2-11388236-2 (
  ""Club"" TEXT,
  ""Sport"" TEXT,
  ""League"" TEXT,
  ""Venue"" TEXT,
  ""Established"" TEXT,
  ""Championships"" TEXT
);","SELECT SUM(""Championships"") FROM 2-11388236-2 WHERE ""Established"" = 1976",2-11388236-2
Which Attendance has a Week of 8?,"CREATE TABLE 2-16436485-2 (
  ""Week"" TEXT,
  ""Date"" TEXT,
  ""Opponent"" TEXT,
  ""Result"" TEXT,
  ""Attendance"" TEXT
);","SELECT AVG(""Attendance"") FROM 2-16436485-2 WHERE ""Week"" = 8",2-16436485-2
"What's the average L/km combines when the L/100km Urban is 13.9, the mpg-UK combined is more than 28.5 and the mpg-UK extra urban is less than 38.7?","CREATE TABLE 2-18869502-1 (
  ""Manufacturer"" TEXT,
  ""Transmission"" TEXT,
  ""Engine_Capacity"" TEXT,
  ""Fuel_Type"" TEXT,
  ""L_100km_Urban__Cold_"" TEXT,
  ""L_100km_Extra_Urban"" TEXT,
  ""L_100km_Combined"" TEXT,
  ""mpg_UK_Urban__Cold_"" TEXT,
  ""mpg_UK_Extra_Urban"" TEXT,
  ""mpg_UK_Combined"" TEXT,
  ""mpg_US_Urban"" TEXT,
  ""mpg_US_Extra_Urban"" TEXT,
  ""mpg_US_Combined"" TEXT,
  ""CO_2_g_km"" TEXT,
  ""Green_Rating"" TEXT
);","SELECT AVG(""L_100km_Combined"") FROM 2-18869502-1 WHERE ""L_100km_Urban__Cold_"" = 13.9 AND ""mpg_UK_Combined"" > 28.5 AND ""mpg_UK_Extra_Urban"" < 38.7",2-18869502-1
"With a previous number of 68165, what is the oldest converted date?","CREATE TABLE 2-1895522-2 (
  ""Number"" TEXT,
  ""Previous_Number_s_"" TEXT,
  ""Previous_Class"" TEXT,
  ""Converted"" TEXT,
  ""Withdrawn"" TEXT,
  ""Disposal"" TEXT
);","SELECT MAX(""Converted"") FROM 2-1895522-2 WHERE ""Previous_Number_s_"" = 68165",2-1895522-2
What athlete has less than 7 gold and 14 total medals?,"CREATE TABLE 2-10982957-8 (
  ""Athlete"" TEXT,
  ""Country"" TEXT,
  ""From"" TEXT,
  ""Gold"" TEXT,
  ""Silver"" TEXT,
  ""Total"" TEXT,
  ""Status"" TEXT
);","SELECT ""Athlete"" FROM 2-10982957-8 WHERE ""Gold"" < 7 AND ""Total"" = 14",2-10982957-8
What is the total number of top-25 a tournament with less than 2 events has?,"CREATE TABLE 2-12884908-3 (
  ""Tournament"" TEXT,
  ""Wins"" TEXT,
  ""Top_25"" TEXT,
  ""Events"" TEXT,
  ""Cuts_made"" TEXT
);","SELECT COUNT(""Top_25"") FROM 2-12884908-3 WHERE ""Events"" < 2",2-12884908-3
what is the total number of sesamin were secoisolariciresinol is 240?,"CREATE TABLE 1-1831262-2 (
  ""Foodstuff"" TEXT,
  ""Pinoresinol"" TEXT,
  ""Syringaresinol"" TEXT,
  ""Sesamin"" TEXT,
  ""Lariciresinol"" TEXT,
  ""Secoisolariciresinol"" TEXT,
  ""Matairesinol"" TEXT,
  ""Hydroxymatairesinol"" TEXT
);","SELECT ""Sesamin"" FROM 1-1831262-2 WHERE ""Secoisolariciresinol"" = 240",1-1831262-2
How many games did they lose when they tied less than 2 games?,"CREATE TABLE 2-17469910-2 (
  ""Competition"" TEXT,
  ""Played"" TEXT,
  ""Draw"" TEXT,
  ""Lost"" TEXT,
  ""Favour"" TEXT,
  ""Against"" TEXT
);","SELECT ""Lost"" FROM 2-17469910-2 WHERE ""Draw"" < 2",2-17469910-2
"How many Matches have an Average larger than 26.53, and an S/Rate of 165.4, and a 100s smaller than 1?","CREATE TABLE 2-17900317-4 (
  ""Player"" TEXT,
  ""Team"" TEXT,
  ""Matches"" TEXT,
  ""Inns"" TEXT,
  ""Runs"" TEXT,
  ""Balls"" TEXT,
  ""S_Rate"" TEXT,
  ""_100s"" TEXT,
  ""Average"" TEXT
);","SELECT COUNT(""Matches"") FROM 2-17900317-4 WHERE ""Average"" > 26.53 AND ""S_Rate"" = 165.4 AND ""_100s"" < 1",2-17900317-4
How many regions had 153 women prison inmates?,"CREATE TABLE 1-25042332-31 (
  ""Region"" TEXT,
  ""Prison_inmates_Men"" TEXT,
  ""Prison_inmates_Women"" TEXT,
  ""Prison_inmates_Total"" TEXT,
  ""Incarceration_rate_Male"" TEXT,
  ""Incarceration_rate_Female"" TEXT,
  ""Incarceration_rate_Total"" TEXT,
  ""Country_comparison"" TEXT
);","SELECT COUNT(""Incarceration_rate_Total"") FROM 1-25042332-31 WHERE ""Prison_inmates_Women"" = 153",1-25042332-31
Which opponent was present on March 28?,"CREATE TABLE 2-14305802-7 (
  ""Game"" TEXT,
  ""March"" TEXT,
  ""Opponent"" TEXT,
  ""Score"" TEXT,
  ""Record"" TEXT,
  ""Points"" TEXT
);","SELECT ""Opponent"" FROM 2-14305802-7 WHERE ""March"" = 28",2-14305802-7
Who was number 12's mother?,"CREATE TABLE 2-163029-3 (
  ""Number"" TEXT,
  ""Title"" TEXT,
  ""Born"" TEXT,
  ""Died"" TEXT,
  ""Date_Married"" TEXT,
  ""Issue"" TEXT,
  ""Mother"" TEXT
);","SELECT ""Mother"" FROM 2-163029-3 WHERE ""Number"" = 12",2-163029-3
"What is the lowest played that has a position greater than 6, 61 as the goals against, with a loss less than 16?","CREATE TABLE 2-17369130-1 (
  ""Position"" TEXT,
  ""Team"" TEXT,
  ""Played"" TEXT,
  ""Drawn"" TEXT,
  ""Lost"" TEXT,
  ""Goals_For"" TEXT,
  ""Goals_Against"" TEXT,
  ""Goal_Difference"" TEXT,
  ""Points_1"" TEXT
);","SELECT MIN(""Played"") FROM 2-17369130-1 WHERE ""Position"" > 6 AND ""Goals_Against"" = 61 AND ""Lost"" < 16",2-17369130-1
What is the lowest average score where the evening gown score was 8.811?,"CREATE TABLE 2-17088705-2 (
  ""Country"" TEXT,
  ""Preliminary"" TEXT,
  ""Interview"" TEXT,
  ""Swimsuit"" TEXT,
  ""Evening_Gown"" TEXT,
  ""Average"" TEXT
);","SELECT MIN(""Average"") FROM 2-17088705-2 WHERE ""Evening_Gown"" = 8.811",2-17088705-2
What was the record after game 41?,"CREATE TABLE 2-14034799-4 (
  ""Game"" TEXT,
  ""December"" TEXT,
  ""Opponent"" TEXT,
  ""Score"" TEXT,
  ""Record"" TEXT
);","SELECT ""Record"" FROM 2-14034799-4 WHERE ""Game"" = 41",2-14034799-4
What team has a year listed of 2008?,"CREATE TABLE 2-10587252-1 (
  ""Year"" TEXT,
  ""Sportsperson"" TEXT,
  ""Nation_of_birth"" TEXT,
  ""Team"" TEXT,
  ""Competition___federation___or_league"" TEXT,
  ""Sport"" TEXT
);","SELECT ""Team"" FROM 2-10587252-1 WHERE ""Year"" = 2008",2-10587252-1
"How many skaters have a Rank in FS of 3, and a Rank in SP larger than 4?","CREATE TABLE 2-1158735-9 (
  ""Final_Rank"" TEXT,
  ""Skater"" TEXT,
  ""Rank_in_SP"" TEXT,
  ""Rank_in_FS"" TEXT,
  ""Total_Score"" TEXT
);","SELECT COUNT(""Final_Rank"") FROM 2-1158735-9 WHERE ""Rank_in_FS"" = 3 AND ""Rank_in_SP"" > 4",2-1158735-9
How many lowest mark entries are there when % passed is 76?,"CREATE TABLE 1-29842201-1 (
  ""Subject"" TEXT,
  ""No__Sat"" TEXT,
  ""No__Passed"" TEXT,
  ""__Pass"" TEXT,
  ""Highest_mark"" TEXT,
  ""Lowest_mark"" TEXT,
  ""Mean"" TEXT
);","SELECT COUNT(""Lowest_mark"") FROM 1-29842201-1 WHERE ""__Pass"" = 76",1-29842201-1
"What is the lowest laps that has an on lap less than 4, with 35 as a class pos.?","CREATE TABLE 2-18642075-1 (
  ""Class"" TEXT,
  ""Class_Pos_"" TEXT,
  ""Driver"" TEXT,
  ""Team_Car"" TEXT,
  ""Laps"" TEXT,
  ""Best_Lap"" TEXT,
  ""On_Lap"" TEXT
);","SELECT MIN(""Laps"") FROM 2-18642075-1 WHERE ""On_Lap"" < 4 AND ""Class_Pos_"" = 35",2-18642075-1
WHat is the number of Population has a Density of 50.09 and a Rank larger than 30?,"CREATE TABLE 2-15707829-1 (
  ""Rank"" TEXT,
  ""Province"" TEXT,
  ""Population"" TEXT,
  ""Area"" TEXT,
  ""Density"" TEXT
);","SELECT SUM(""Population"") FROM 2-15707829-1 WHERE ""Density"" = 50.09 AND ""Rank"" > 30",2-15707829-1
What is the Time of the Athlete with a Reaction time of 0.164?,"CREATE TABLE 2-18569105-12 (
  ""Lane"" TEXT,
  ""Athlete"" TEXT,
  ""Nationality"" TEXT,
  ""Time"" TEXT,
  ""Reaction_time"" TEXT
);","SELECT SUM(""Time"") FROM 2-18569105-12 WHERE ""Reaction_time"" = 0.164",2-18569105-12
What are the names of the episodes that airs at 2:00pm?,"CREATE TABLE 1-15535243-3 (
  ""Time"" TEXT,
  ""_12_00_PM"" TEXT,
  ""_01_00_PM"" TEXT,
  ""_02_00_PM"" TEXT,
  ""_03_00_PM"" TEXT,
  ""_04_00_PM"" TEXT,
  ""_05_00_PM"" TEXT,
  ""_05_55_PM"" TEXT
);","SELECT ""_02_00_PM"" FROM 1-15535243-3",1-15535243-3
What is the Cuchumela Municipality minimum?,"CREATE TABLE 1-2509112-3 (
  ""Language"" TEXT,
  ""Punata_Municipality"" TEXT,
  ""Villa_Rivero_Municipality"" TEXT,
  ""San_Benito_Municipality"" TEXT,
  ""Tacachi_Municipality"" TEXT,
  ""Cuchumuela_Municipality"" TEXT
);","SELECT MIN(""Cuchumuela_Municipality"") FROM 1-2509112-3",1-2509112-3
Name the bronze when silver is 1,"CREATE TABLE 2-12320552-17 (
  ""Nation"" TEXT,
  ""Gold"" TEXT,
  ""Silver"" TEXT,
  ""Bronze"" TEXT,
  ""Total"" TEXT
);","SELECT ""Bronze"" FROM 2-12320552-17 WHERE ""Silver"" = 1",2-12320552-17
What is the chassis after 1991?,"CREATE TABLE 2-1218386-1 (
  ""Year"" TEXT,
  ""Entrant"" TEXT,
  ""Chassis"" TEXT,
  ""Engine"" TEXT,
  ""Points"" TEXT
);","SELECT ""Chassis"" FROM 2-1218386-1 WHERE ""Year"" > 1991",2-1218386-1
How many names correspond to the value 101 for appearances?,"CREATE TABLE 1-24565004-14 (
  ""Name"" TEXT,
  ""Position"" TEXT,
  ""Period"" TEXT,
  ""Appearances_"" TEXT,
  ""Goals_"" TEXT,
  ""Nationality_"" TEXT
);","SELECT COUNT(""Name"") FROM 1-24565004-14 WHERE ""Appearances_"" = 101",1-24565004-14
Name the call sign for the 17 physical,"CREATE TABLE 1-14623167-1 (
  ""Virtual"" TEXT,
  ""Physical"" TEXT,
  ""Call_sign"" TEXT,
  ""Branding"" TEXT,
  ""Network"" TEXT,
  ""Owner"" TEXT
);","SELECT ""Call_sign"" FROM 1-14623167-1 WHERE ""Physical"" = 17",1-14623167-1
How many millions of people in the US saw the episode with series number 103?,"CREATE TABLE 1-22078972-2 (
  ""No__in_series"" TEXT,
  ""No__in_season"" TEXT,
  ""Title"" TEXT,
  ""Directed_by"" TEXT,
  ""Written_by"" TEXT,
  ""Original_air_date"" TEXT,
  ""U_S__viewers__millions_"" TEXT
);","SELECT ""U_S__viewers__millions_"" FROM 1-22078972-2 WHERE ""No__in_series"" = 103",1-22078972-2
"Which Totora Municipality (%) is the highest one that has a Chimoré Municipality (%) of 5.1, and a Pocona Municipality (%) smaller than 0.2?","CREATE TABLE 2-14279071-2 (
  ""Ethnic_group"" TEXT,
  ""Totora_Municipality____"" TEXT,
  ""Pojo_Municipality____"" TEXT,
  ""Pocona_Municipality____"" TEXT,
  ""Chimor__Municipality____"" TEXT,
  ""Puerto_Villarroel_Municipality____"" TEXT,
  ""Entre_R_os_Municipality____"" TEXT
);","SELECT MAX(""Totora_Municipality____"") FROM 2-14279071-2 WHERE ""Chimor__Municipality____"" = 5.1 AND ""Pocona_Municipality____"" < 0.2",2-14279071-2
What is the sum of the pick in round 17?,"CREATE TABLE 2-17100961-30 (
  ""Round"" TEXT,
  ""Pick"" TEXT,
  ""Overall"" TEXT,
  ""Name"" TEXT,
  ""Position"" TEXT,
  ""College"" TEXT
);","SELECT SUM(""Pick"") FROM 2-17100961-30 WHERE ""Round"" = 17",2-17100961-30
How many seasons have 1 goals and more than 11 apps?,"CREATE TABLE 2-12418501-1 (
  ""Season"" TEXT,
  ""Team"" TEXT,
  ""Country"" TEXT,
  ""Apps"" TEXT,
  ""Goals"" TEXT
);","SELECT COUNT(""Season"") FROM 2-12418501-1 WHERE ""Goals"" = 1 AND ""Apps"" > 11",2-12418501-1
"What is the lowest Date, when Doubles, II Class is 18, and when Total is less than 164?","CREATE TABLE 2-15698158-1 (
  ""Date"" TEXT,
  ""Doubles__I_Class"" TEXT,
  ""Doubles__II_Class"" TEXT,
  ""Greater_Doubles"" TEXT,
  ""Doubles"" TEXT,
  ""Semidoubles"" TEXT,
  ""Total"" TEXT
);","SELECT MIN(""Date"") FROM 2-15698158-1 WHERE ""Doubles__II_Class"" = 18 AND ""Total"" < 164",2-15698158-1
Who wrote episode number 81 in the series?,"CREATE TABLE 1-25604014-5 (
  ""No__in_series"" TEXT,
  ""No__in_season"" TEXT,
  ""Title"" TEXT,
  ""Directed_by"" TEXT,
  ""Written_by"" TEXT,
  ""Original_air_date"" TEXT,
  ""Production_code"" TEXT
);","SELECT ""Written_by"" FROM 1-25604014-5 WHERE ""No__in_series"" = 81",1-25604014-5
What was the minimum property crimes stats if the burglary committed was 45350?,"CREATE TABLE 1-26060884-2 (
  ""Year"" TEXT,
  ""Population"" TEXT,
  ""Total"" TEXT,
  ""Violent"" TEXT,
  ""Property_Crimes"" TEXT,
  ""Forcible_rape"" TEXT,
  ""Robbery"" TEXT,
  ""Aggravated_assault"" TEXT,
  ""Burglary"" TEXT,
  ""Larceny_Theft"" TEXT,
  ""Vehicle_Theft"" TEXT
);","SELECT MIN(""Property_Crimes"") FROM 1-26060884-2 WHERE ""Burglary"" = 45350",1-26060884-2
How many members did Europe have the year that America had 403892?,"CREATE TABLE 1-1914090-2 (
  ""Year"" TEXT,
  ""Worldwide"" TEXT,
  ""Africa"" TEXT,
  ""America"" TEXT,
  ""Asia"" TEXT,
  ""Australia"" TEXT,
  ""Europe"" TEXT
);","SELECT ""Europe"" FROM 1-1914090-2 WHERE ""America"" = 403892",1-1914090-2
How many males are in the group that has an amount of 139361,"CREATE TABLE 1-28939145-2 (
  ""taluka_Name"" TEXT,
  ""Population__2001_census_"" TEXT,
  ""__of_District_Population"" TEXT,
  ""Male"" TEXT,
  ""Male___"" TEXT,
  ""Female"" TEXT,
  ""Female___"" TEXT,
  ""Sex_Ratio"" TEXT,
  ""Literacy"" TEXT,
  ""Literacy___"" TEXT,
  ""Literate_Male"" TEXT,
  ""Literate_Male___"" TEXT,
  ""Literate_Female"" TEXT,
  ""Literate_Female___"" TEXT
);","SELECT ""Male"" FROM 1-28939145-2 WHERE ""Female"" = 139361",1-28939145-2
Who was the mediator in kōhaku number 53?,"CREATE TABLE 1-1315616-1 (
  ""K_haku__"" TEXT,
  ""Date"" TEXT,
  ""Red_Team_Host"" TEXT,
  ""White_Team_Host"" TEXT,
  ""Mediator"" TEXT,
  ""Winning_Team"" TEXT
);","SELECT ""Mediator"" FROM 1-1315616-1 WHERE ""K_haku__"" = 53",1-1315616-1
